SummaryAcct,Parent_Funding_Account,Amount
CH515,CH193,-4238882.02
CH515,CH193,-2811230.05
CH940,CH193,-7341646.93
CH940,CH193,-3559443.6
CH172,STANDALONE,-3081781.51
CH172,STANDALONE,-3410264.15
CH172,STANDALONE,-15467877.08
CH172,STANDALONE,15449659.24
CH172,STANDALONE,-22026554.41
CH172,STANDALONE,4712236.39
CH172,STANDALONE,15467877.08
WFB1796,STANDALONE,-1.50E+07
WFB1796,STANDALONE,1.50E+07
WFB1796,STANDALONE,2050349.52
WFB1796,STANDALONE,-1.50E+07
WFB1796,STANDALONE,1.50E+07
CD4563,STANDALONE,7323084.67
CD4563,STANDALONE,2412409.64
CD4563,STANDALONE,-2267906.2
CD4563,STANDALONE,2267906.2
STANDALONE,Parent,1.50E+07
STANDALONE,Parent,3559443.6
STANDALONE,Parent,174083237.1
CD4563,STANDALONE,-6741194.12
CD4563,STANDALONE,2267906.2
CD4563,STANDALONE,4473287.92
STANDALONE,Parent,4238882.02
CH193,Parent,-5197184.86
CH193,Parent,3081781.51
CH193,Parent,4238882.02
CH193,Parent,7341646.93
CH193,Parent,2811230.05
CH193,Parent,3410264.15
CH193,Parent,3559443.6
CH193,Parent,-10836365.71
WFB8085,Parent,-104278945.4
WFB8085,Parent,-43253451.28
WFB8085,Parent,-14066605.68
WFB8085,Parent,-13517641.38
WFB8085,Parent,-11455746.45
WFB8085,Parent,174083237.1
WFB8085,Parent,-13519516.65
WFB8085,Parent,-12593634.26
WFB8085,Parent,-36562363.51
WFB8085,Parent,-49928071.82
WFB8085,Parent,101997839.7
CD8080,Parent,-85769190.08
CD8080,Parent,-2866001.79
CD8080,Parent,2176817.76
CD8080,Parent,13439438.3
CD8080,Parent,18133684.82
CD8080,Parent,15953015.26
CD8080,Parent,8542002.47
CD8080,Parent,12510718.89
CD8080,Parent,3293758.75
CD8080,Parent,4389662.88
CD8080,Parent,-54157849.29
CD8080,Parent,-4550675.46
CD8080,Parent,2187608.38
CD8080,Parent,4664069.38
CD8080,Parent,3928131.56
CD8080,Parent,4250043.88
CD8080,Parent,2428183.44
CD8080,Parent,4222847.91
CD8080,Parent,11212023.5
CD8080,Parent,11965142.46
843662,Parent,-174083237.1
843662,Parent,85769190.08
843662,Parent,5197184.86
843662,Parent,35761140
843662,Parent,11025815.82
843662,Parent,11015830.35
843662,Parent,7829900.32
843662,Parent,6903125.42
843662,Parent,6172842.06
843662,Parent,4646115.3
843662,Parent,3054618.36
843662,Parent,2442812.39
843662,Parent,2231471.43
843662,Parent,-101997839.7
843662,Parent,-23496491.28
843662,Parent,-16123896.95
843662,Parent,54161576.18
843662,Parent,10836365.71
843662,Parent,50369850.4
843662,Parent,15002138.28
843662,Parent,9688982.89
843662,Parent,3524914.73
843662,Parent,2635218.27
843662,Parent,2554129.96
843662,Parent,2232746.81
WFB5918,WFB8085,13517641.38
WFB5918,WFB8085,12593634.26
WFB5651,WFB8085,-8166003.57
WFB5651,WFB8085,11455746.45
WFB2859,WFB5918,-99999999.99
WFB2859,WFB5918,-4258340.94
WFB2859,WFB5918,104278945.4
WFB2859,WFB5918,-49478181.76
WFB2859,WFB5918,49928071.82
WFB0735,WFB5651,-2.00E+07
WFB0735,WFB5651,-6284247.19
WFB0735,WFB5651,-2551348.91
WFB0735,WFB5651,43253451.28
WFB0735,WFB5651,36562363.51
WFB0735,WFB5651,-10512945
WFB0735,WFB5651,-1.80E+07
CD5071,CD8080,-3293758.75
CD5071,CD8080,-2176817.76
CD5071,CD8080,2866001.79
CD5071,CD8080,4550675.46
